method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,plot_series,num_points_jitter
colmap,100,42,,16627,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,21.084463119506836,0.3635961413383484,0.49296194314956665,1000000,0.004348000045865774,0.10489999502897263,0.3607255448142455,16627,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_i100_gteval_steps15000,0.1049,0.017545,colmap | ,14964.300000000001
vggt,100,42,0.0,500000,random,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.129207611083984,0.42081648111343384,0.23988814651966095,1000000,0.015425998717546463,0.8569999933242798,0.10416250274582609,500000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p500000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p500000_random_farthestpose_i100_gteval_steps15000,0.857,0.067143,vggt | random,525000.0
vggt,100,42,0.0,500000,voxels,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.16722869873047,0.4594174921512604,0.25168082118034363,1000000,0.015425998717546463,0.8569999933242798,0.0879351133414102,446783,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p500000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p500000_voxels_farthestpose_i100_gteval_steps15000,0.857,0.067143,vggt | voxels,550000.0
vggt,100,42,0.0,1000000,confidence,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.09624671936035,0.511715829372406,0.2585026025772095,1000000,0.015425998717546463,0.8569999933242798,0.05832705387750026,1000000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p1000000_confidence_farthestpose_i100_gteval_steps15000,0.857,0.067143,vggt | confidence,1000000.0
vggt,100,42,0.0,1000000,random,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.078773498535156,0.4232717752456665,0.23366495966911316,1000000,0.015425998717546463,0.8569999933242798,0.09807363348087764,1000000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p1000000_random_farthestpose_i100_gteval_steps15000,0.857,0.067143,vggt | random,1050000.0
vggt,100,42,0.0,1000000,voxels,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.245317459106445,0.4660671055316925,0.24548964202404022,1302835,0.015425998717546463,0.8569999933242798,0.08165592927294481,1302835,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p1000000_voxels_farthestpose_i100_gteval_steps15000,0.857,0.067143,vggt | voxels,1100000.0
vggt,100,42,,23344,ba,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,pinhole,,15000,15000,,MCMC,gsplat,17.088804244995117,0.5291650295257568,0.28234753012657166,1000000,0.010324000380933285,0.819100022315979,0.06136252114802232,23344,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_mpinhole_ba_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_mpinhole_ba_farthestpose_i100_gteval_steps15000,0.8191,0.044839,vggt | ba,22176.8
vggt,100,43,0.0,1000,confidence,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.769472122192383,0.6904220581054688,0.32272040843963623,1000000,0.015527000650763512,0.8603999614715576,-0.0019640234711109095,1000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p1000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_c0.0_p1000_confidence_farthestpose_i100_gteval_steps15000,0.8604,0.06754,vggt | confidence,1000.0
vggt,100,43,0.0,1000,random,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.775529861450195,0.6911687254905701,0.32368889451026917,1000000,0.015527000650763512,0.8603999614715576,-0.0017463827845799842,1000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p1000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_c0.0_p1000_random_farthestpose_i100_gteval_steps15000,0.8604,0.06754,vggt | random,1050.0
vggt,100,43,0.0,1000,voxels,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.836029052734375,0.7062939405441284,0.3265620768070221,1000000,0.015527000650763512,0.8603999614715576,-0.008282356327272478,1005,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p1000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_c0.0_p1000_voxels_farthestpose_i100_gteval_steps15000,0.8604,0.06754,vggt | voxels,1100.0
vggt,100,43,0.0,5000,confidence,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.514934539794922,0.56779545545578,0.30098268389701843,1000000,0.015527000650763512,0.8603999614715576,0.05630563171441253,5000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p5000_confidence_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_c0.0_p5000_confidence_farthestpose_i100_gteval_steps15000,0.8604,0.06754,vggt | confidence,5000.0
vggt,100,43,0.0,5000,random,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.452285766601562,0.5726141929626465,0.2992721199989319,1000000,0.015527000650763512,0.8603999614715576,0.0511706101576798,5000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p5000_random_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_c0.0_p5000_random_farthestpose_i100_gteval_steps15000,0.8604,0.06754,vggt | random,5250.0
vggt,100,43,0.0,5000,voxels,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.499216079711914,0.5916618704795837,0.3032228350639343,1000000,0.015527000650763512,0.8603999614715576,0.04259222408949059,5004,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p5000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s43_c0.0_p5000_voxels_farthestpose_i100_gteval_steps15000,0.8604,0.06754,vggt | voxels,5500.0
