method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,real_num_points,file_path,rre,rte,plot_series,num_images_jitter
vggt,70,42,0.0,77000,voxels,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,29999,30000,,MCMC,gsplat,16.618968963623047,0.44932258129119873,0.23012831807136536,1000000,0.01743599958717823,0.9155000448226929,76966,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n70_s42_c0.0_p77000_voxels_farthestpose_i70_gteval_steps30000/stats/val_step29999.json,0.9155,0.07769,vggt | voxels | 29999,70.0
vggt,80,42,0.0,88000,voxels,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,6999,30000,,MCMC,gsplat,17.570371627807617,0.5986766815185547,0.29523757100105286,1000000,0.01695599965751171,0.8730999827384949,90156,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n80_s42_c0.0_p88000_voxels_farthestpose_i80_gteval_steps30000/stats/val_step6999.json,0.873,0.073069,vggt | voxels | 6999,80.0
vggt,80,42,0.0,88000,voxels,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999,30000,,MCMC,gsplat,17.095565795898438,0.4673696756362915,0.25509950518608093,1000000,0.01695599965751171,0.8730999827384949,90156,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n80_s42_c0.0_p88000_voxels_farthestpose_i80_gteval_steps30000/stats/val_step14999.json,0.873,0.073069,vggt | voxels | 14999,80.0
vggt,80,42,0.0,88000,voxels,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,29999,30000,,MCMC,gsplat,16.81553077697754,0.44000643491744995,0.23754149675369263,1000000,0.01695599965751171,0.8730999827384949,90156,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n80_s42_c0.0_p88000_voxels_farthestpose_i80_gteval_steps30000/stats/val_step29999.json,0.873,0.073069,vggt | voxels | 29999,80.0
vggt,90,42,0.0,99000,voxels,farthestpose,90,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,6999,30000,,MCMC,gsplat,17.565204620361328,0.6121927499771118,0.2993758022785187,1000000,0.01613599993288517,0.8906999826431274,97825,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n90_s42_c0.0_p99000_voxels_farthestpose_i90_gteval_steps30000/stats/val_step6999.json,0.8907,0.071127,vggt | voxels | 6999,90.0
vggt,90,42,0.0,99000,voxels,farthestpose,90,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999,30000,,MCMC,gsplat,17.163660049438477,0.46938011050224304,0.25909674167633057,1000000,0.01613599993288517,0.8906999826431274,97825,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n90_s42_c0.0_p99000_voxels_farthestpose_i90_gteval_steps30000/stats/val_step14999.json,0.8907,0.071127,vggt | voxels | 14999,90.0
vggt,90,42,0.0,99000,voxels,farthestpose,90,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,29999,30000,,MCMC,gsplat,16.89717674255371,0.4366765022277832,0.24098162353038788,1000000,0.01613599993288517,0.8906999826431274,97825,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n90_s42_c0.0_p99000_voxels_farthestpose_i90_gteval_steps30000/stats/val_step29999.json,0.8907,0.071127,vggt | voxels | 29999,90.0
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,6999,30000,,MCMC,gsplat,17.706327438354492,0.6190664768218994,0.30542224645614624,1000000,0.015425998717546463,0.8569999933242798,107546,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_steps30000/stats/val_step6999.json,0.857,0.067143,vggt | voxels | 6999,100.0
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999,30000,,MCMC,gsplat,17.311317443847656,0.4716956317424774,0.26789507269859314,1000000,0.015425998717546463,0.8569999933242798,107546,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_steps30000/stats/val_step14999.json,0.857,0.067143,vggt | voxels | 14999,100.0
vggt,100,42,0.0,110000,voxels,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,29999,30000,,MCMC,gsplat,17.05530548095703,0.43494269251823425,0.25015583634376526,1000000,0.015425998717546463,0.8569999933242798,107546,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_steps30000/stats/val_step29999.json,0.857,0.067143,vggt | voxels | 29999,100.0
