choice,dataset,num_points,sampling_mode,rre,rte,psnr,lpips,ssim,quality
VGGT,lego,8700,voxels,0.2976,0.018838,20.601343154907227,0.10275178402662277,0.7772859930992126,0.679065288420309
VGGT,lego,27774,ba,0.2685,0.015949,22.96965217590332,0.07458535581827164,0.8368433117866516,0.7751383883001123
VGGT,lego,43500,confidence,0.3306,0.018825,20.570556640625,0.09688160568475723,0.7743114829063416,0.680379255018194
VGGT,lego,43500,imagefps,0.2976,0.018838,20.61343765258789,0.09669386595487595,0.7750223875045776,0.6817049702376493
VGGT,lego,43500,random,0.3306,0.018825,20.576627731323242,0.09749816358089447,0.7743308544158936,0.680122419697964
VGGT,lego,43500,voxels,0.2976,0.018838,20.54008674621582,0.09730445593595505,0.7736892104148865,0.6791900769989547
VGGT,lego,87000,confidence,0.3306,0.018825,20.61271095275879,0.09457694739103317,0.7749558687210083,0.6829593528141984
VGGT,lego,87000,imagefps,0.2976,0.018838,20.58357048034668,0.09591566771268845,0.7741469144821167,0.6811202712129508
VGGT,lego,87000,random,0.3306,0.018825,20.619525909423828,0.0951065868139267,0.7748908996582031,0.6827206241960568
VGGT,lego,87000,voxels,0.2976,0.018838,20.561214447021484,0.09585598111152649,0.7731336951255798,0.6801505882372867
VGGT,lego,435000,confidence,0.3306,0.018825,20.577228546142578,0.09318794310092926,0.7730429768562317,0.6820410310524947
VGGT,lego,435000,imagefps,0.2976,0.018838,20.610553741455078,0.09459139406681061,0.7736690640449524,0.6821579694012065
VGGT,lego,435000,random,0.3306,0.018825,20.58102798461914,0.09375450015068054,0.7730345129966736,0.6817567148248896
VGGT,lego,435000,voxels,0.2976,0.018838,20.573318481445312,0.09295640140771866,0.7737110257148743,0.6825022212652666
VGGT,lego,870000,confidence,0.3306,0.018825,20.598743438720703,0.09230045229196548,0.7735089063644409,0.6832597622184338
VGGT,lego,870000,imagefps,0.2976,0.018838,20.605642318725586,0.09272468090057373,0.7730685472488403,0.6828681297934309
VGGT,lego,870000,random,0.3306,0.018825,20.606740951538086,0.09257781505584717,0.7733564376831055,0.6831474897534604
VGGT,lego,870000,voxels,0.2976,0.018838,20.55267333984375,0.09211361408233643,0.7727274298667908,0.6820649406676016
COLMAP,ship,5138,,0.2774,0.015084,21.59255599975586,0.15465399622917175,0.7327307462692261,0.6393269793486889
VGGT,ship,870,confidence,0.4869,0.027807,20.921188354492188,0.22032080590724945,0.7188170552253723,0.5782225160454681
VGGT,ship,870,imagefps,0.4869,0.027807,20.913782119750977,0.21630723774433136,0.7185478210449219,0.5804054278727862
VGGT,ship,870,random,0.4869,0.027807,20.92515754699707,0.2179117053747177,0.7184377908706665,0.579561326684233
VGGT,ship,870,voxels,0.4869,0.027807,20.92254066467285,0.21661879122257233,0.7180388569831848,0.5800776663850544
VGGT,ship,4350,confidence,0.4869,0.027807,20.848600387573242,0.19256575405597687,0.7091026306152344,0.5883300924277909
VGGT,ship,4350,imagefps,0.4869,0.027807,20.910303115844727,0.19205504655838013,0.7104144096374512,0.5905551093208703
VGGT,ship,4350,random,0.4869,0.027807,20.848501205444336,0.19260814785957336,0.708875834941864,0.5881694576583798
VGGT,ship,4350,voxels,0.4869,0.027807,20.867277145385742,0.19215472042560577,0.709143877029419,0.5889538034864491
VGGT,ship,8700,confidence,0.4869,0.027807,20.8979549407959,0.18645210564136505,0.7074775695800781,0.5920675945909399
VGGT,ship,8700,imagefps,0.4869,0.027807,20.913692474365234,0.18720950186252594,0.7076317071914673,0.5919816408202274
VGGT,ship,8700,random,0.4869,0.027807,20.893278121948242,0.18692664802074432,0.707008957862854,0.5914140174999261
VGGT,ship,8700,voxels,0.4869,0.027807,20.865747451782227,0.18705220520496368,0.7071988582611084,0.5909377387044025
VGGT,ship,24264,ba,0.429,0.025089,19.13971519470215,0.2679618299007416,0.6759546995162964,0.49075852775047
VGGT,ship,43500,confidence,0.4869,0.027807,20.866127014160156,0.17850221693515778,0.7031208276748657,0.5938377249659152
VGGT,ship,43500,imagefps,0.4869,0.027807,20.88231086730957,0.17938613891601562,0.7027167081832886,0.5933554679097255
VGGT,ship,43500,random,0.4869,0.027807,20.864776611328125,0.17922554910182953,0.7027838826179504,0.5931691722756782
VGGT,ship,43500,voxels,0.4869,0.027807,20.88624382019043,0.17885373532772064,0.7035326361656189,0.5942340954276476
VGGT,ship,87000,confidence,0.4869,0.027807,20.877193450927734,0.17584222555160522,0.7018064856529236,0.5949160079045137
