choice,dataset,num_points,sampling_mode,rre,rte,psnr,lpips,ssim,quality
VGGT,counter,100000,imagefps,0.3873,0.030482,19.98298454284668,0.3024696409702301,0.6149505376815796,0.44939856040470005
VGGT,counter,100000,random,0.3873,0.030482,20.050086975097656,0.291461318731308,0.6177743673324585,0.4590878210492224
VGGT,counter,100000,voxels,0.3873,0.030482,20.045886993408203,0.30151015520095825,0.6204531788825989,0.45437361459750647
VGGT,counter,500000,confidence,0.3873,0.030482,20.06814956665039,0.29317721724510193,0.613149106502533,0.4556582859772378
VGGT,counter,500000,imagefps,0.3873,0.030482,19.90083885192871,0.3044550120830536,0.603634774684906,0.4400344009210414
VGGT,counter,500000,random,0.3873,0.030482,20.014636993408203,0.2875474989414215,0.609620213508606,0.45607876704062944
VGGT,counter,500000,voxels,0.3873,0.030482,20.017574310302734,0.300271213054657,0.6125339269638062,0.4499829432807858
VGGT,counter,1000000,confidence,0.3873,0.030482,20.0633602142334,0.2952800989151001,0.6122857928276062,0.453766657362672
VGGT,counter,1000000,imagefps,0.3873,0.030482,19.88835334777832,0.3046422600746155,0.6011669635772705,0.43824443831081283
VGGT,counter,1000000,random,0.3873,0.030482,20.013124465942383,0.2851201295852661,0.6079085469245911,0.45654815880798383
VGGT,counter,1000000,voxels,0.3873,0.030482,19.889249801635742,0.32176369428634644,0.6119847893714905,0.4340184666724698
