method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,real_num_points,file_path,rre,rte,plot_series,num_images_jitter
colmap,70,44,,5419,,farthestpose,70,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,16.507165908813477,0.5196005702018738,0.260015070438385,1000000,0.005212999414652586,0.23080000281333923,5419,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s44_default_farthestpose_i70_gteval_poseopt_steps15000/stats/val_step14999.json,0.1129,0.018014,colmap |  | Pose Opt,70.0
colmap,80,42,,7124,,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,17.195592880249023,0.4858524203300476,0.3001985251903534,1000000,0.005818000063300133,0.20440000295639038,7124,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_i80_gteval_steps15000/stats/val_step14999.json,0.2044,0.018299,colmap |  | ,80.0
colmap,80,42,,7124,,farthestpose,80,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,17.476036071777344,0.47868022322654724,0.3203653395175934,1000000,0.0057669999077916145,0.18219996988773346,7124,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_i80_gteval_poseopt_steps15000/stats/val_step14999.json,0.2044,0.018299,colmap |  | Pose Opt,80.0
colmap,80,43,,6582,,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,17.99629020690918,0.48239463567733765,0.34706375002861023,1000000,0.005284999497234821,0.13760000467300415,6582,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s43_default_farthestpose_i80_gteval_steps15000/stats/val_step14999.json,0.1376,0.0176,colmap |  | ,80.0
colmap,80,43,,6582,,farthestpose,80,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,17.577695846557617,0.47456443309783936,0.30472955107688904,1000000,0.005268000531941652,0.1761000007390976,6582,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s43_default_farthestpose_i80_gteval_poseopt_steps15000/stats/val_step14999.json,0.1376,0.0176,colmap |  | Pose Opt,80.0
colmap,80,44,,7129,,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,16.921171188354492,0.4917127788066864,0.285746693611145,1000000,0.006645998917520046,0.27140000462532043,7129,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s44_default_farthestpose_i80_gteval_steps15000/stats/val_step14999.json,0.2714,0.021599,colmap |  | ,80.0
colmap,80,44,,7129,,farthestpose,80,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,17.386032104492188,0.4807029962539673,0.31388458609580994,1000000,0.0068700010888278484,0.2159000039100647,7129,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s44_default_farthestpose_i80_gteval_poseopt_steps15000/stats/val_step14999.json,0.2714,0.021599,colmap |  | Pose Opt,80.0
colmap,90,42,,13386,,farthestpose,90,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,20.26517105102539,0.3983192443847656,0.4295969307422638,1000000,0.004443000070750713,0.132999986410141,13386,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s42_default_farthestpose_i90_gteval_steps15000/stats/val_step14999.json,0.133,0.018113,colmap |  | ,90.0
colmap,90,42,,13386,,farthestpose,90,GT Eval,,,,Pose Opt,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,20.632572174072266,0.3831538259983063,0.45788392424583435,1000000,0.0041669998317956924,0.13339997828006744,13386,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s42_default_farthestpose_i90_gteval_poseopt_steps15000/stats/val_step14999.json,0.133,0.018113,colmap |  | Pose Opt,90.0
colmap,90,43,,13493,,farthestpose,90,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,20.21192741394043,0.398380309343338,0.42009469866752625,1000000,0.004271000158041716,0.13699999451637268,13493,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s43_default_farthestpose_i90_gteval_steps15000/stats/val_step14999.json,0.137,0.017387,colmap |  | ,90.0
