method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,real_num_points,file_path,rre,rte,plot_series,num_images_jitter
vggt,70,43,0.0,77000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n70_s43_c0.0_p77000_voxels_farthestpose/eval_results.json,0.8094,0.06753,vggt | voxels,70.0
vggt,70,44,0.0,77000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n70_s44_c0.0_p77000_voxels_farthestpose/eval_results.json,0.9273,0.078167,vggt | voxels,70.0
vggt,80,42,0.0,88000.0,voxels,farthestpose,80.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.107046127319336,0.48466604948043823,0.2604711949825287,1000000.0,0.01695599965751171,0.8730999827384949,90156.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n80_s42_c0.0_p88000_voxels_farthestpose_i80_gteval_steps15000/stats/val_step14999.json,0.873,0.073069,vggt | voxels,80.0
vggt,80,43,0.0,88000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n80_s43_c0.0_p88000_voxels_farthestpose/eval_results.json,0.8971,0.074284,vggt | voxels,80.0
vggt,80,44,0.0,88000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n80_s44_c0.0_p88000_voxels_farthestpose/eval_results.json,0.873,0.073069,vggt | voxels,80.0
vggt,90,42,0.0,99000.0,voxels,farthestpose,90.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.15567398071289,0.4849855303764343,0.2645018994808197,1000000.0,0.01613599993288517,0.8906999826431274,97825.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n90_s42_c0.0_p99000_voxels_farthestpose_i90_gteval_steps15000/stats/val_step14999.json,0.8907,0.071127,vggt | voxels,90.0
vggt,90,43,0.0,99000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n90_s43_c0.0_p99000_voxels_farthestpose/eval_results.json,0.8911,0.071301,vggt | voxels,90.0
vggt,90,44,0.0,99000.0,voxels,farthestpose,,,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,,,,MCMC,sfm,,,,,,,,/home/ojab2/work/git/vggt/vggt_outputs/bicycle_4_n90_s44_c0.0_p99000_voxels_farthestpose/eval_results.json,0.8907,0.071127,vggt | voxels,90.0
vggt,100,42,0.0,110000.0,voxels,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.31154441833496,0.4846026599407196,0.27133893966674805,1000000.0,0.015425998717546463,0.8569999933242798,107546.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | voxels,100.0
vggt,100,43,0.0,110000.0,voxels,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.294458389282227,0.4864136278629303,0.27170222997665405,1000000.0,0.015527000650763512,0.8603999614715576,112120.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s43_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.8604,0.06754,vggt | voxels,100.0
vggt,100,44,0.0,110000.0,voxels,farthestpose,100.0,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999.0,15000.0,,MCMC,gsplat,17.28801727294922,0.48047006130218506,0.27036672830581665,1000000.0,0.015425998717546463,0.8569999933242798,107578.0,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s44_c0.0_p110000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.857,0.067143,vggt | voxels,100.0
